Dia,Mes,Anio,Estacion,Alcaldia,Latitud,Longitud,avgAQI
5,1,2016,Hospital General de Mexico,CUAUHTEMOC,19.4116172790527,-99.1522064208984,105
5,1,2016,Iztacalco,IZTACALCO,19.3844127655029,-99.1176376342773,97
5,1,2016,Merced,VENUSTIANO CARRANZA,19.4246101379395,-99.1195907592773,130
5,1,2016,Miguel Hidalgo,MIGUEL HIDALGO,19.4040508270264,-99.2026596069336,101
5,1,2016,Pedregal,ALVARO OBREGON,19.3251457214355,-99.2041397094727,16
5,1,2016,Tlahuac,TLAHUAC,19.2464580535889,-99.0105667114258,66
5,1,2016,UAM Iztapalapa,IZTAPALAPA,19.3607940673828,-99.0738830566406,111
5,1,2016,UAM Xochimilco,COYOACAN,19.3044414520264,-99.103630065918,17
6,1,2016,Ajusco,TLALPAN,19.1542854309082,-99.1626129150391,19
6,1,2016,Ajusco Medio,TLALPAN,19.2721614837646,-99.2077407836914,49
6,1,2016,Benito Juarez,BENITO JUAREZ,19.3704643249512,-99.1595993041992,70
6,1,2016,Camarones,AZCAPOTZALCO,19.4684047698975,-99.169792175293,105
6,1,2016,Centro de Ciencias de la Atmosfera,COYOACAN,19.3261108398438,-99.1761093139648,20
6,1,2016,Coyoacan,COYOACAN,19.3502578735352,-99.1571044921875,17
6,1,2016,Cuajimalpa,CUAJIMALPA DE MORELOS,19.3653125762939,-99.2917022705078,56
6,1,2016,Gustavo A. Madero,GUSTAVO A MADERO,19.4827003479004,-99.0945205688477,13
6,1,2016,Hospital General de Mexico,CUAUHTEMOC,19.4116172790527,-99.1522064208984,64
6,1,2016,Iztacalco,IZTACALCO,19.3844127655029,-99.1176376342773,61
6,1,2016,Merced,VENUSTIANO CARRANZA,19.4246101379395,-99.1195907592773,98
6,1,2016,Miguel Hidalgo,MIGUEL HIDALGO,19.4040508270264,-99.2026596069336,68
6,1,2016,Pedregal,ALVARO OBREGON,19.3251457214355,-99.2041397094727,19
6,1,2016,Tlahuac,TLAHUAC,19.2464580535889,-99.0105667114258,56
6,1,2016,UAM Iztapalapa,IZTAPALAPA,19.3607940673828,-99.0738830566406,86
6,1,2016,UAM Xochimilco,COYOACAN,19.3044414520264,-99.103630065918,15
7,1,2016,Ajusco,TLALPAN,19.1542854309082,-99.1626129150391,20
7,1,2016,Ajusco Medio,TLALPAN,19.2721614837646,-99.2077407836914,54
7,1,2016,Benito Juarez,BENITO JUAREZ,19.3704643249512,-99.1595993041992,77
7,1,2016,Camarones,AZCAPOTZALCO,19.4684047698975,-99.169792175293,14
7,1,2016,Centro de Ciencias de la Atmosfera,COYOACAN,19.3261108398438,-99.1761093139648,19
7,1,2016,Coyoacan,COYOACAN,19.3502578735352,-99.1571044921875,17
7,1,2016,Cuajimalpa,CUAJIMALPA DE MORELOS,19.3653125762939,-99.2917022705078,58
7,1,2016,Gustavo A. Madero,GUSTAVO A MADERO,19.4827003479004,-99.0945205688477,15
7,1,2016,Hospital General de Mexico,CUAUHTEMOC,19.4116172790527,-99.1522064208984,71
7,1,2016,Iztacalco,IZTACALCO,19.3844127655029,-99.1176376342773,65
7,1,2016,Merced,VENUSTIANO CARRANZA,19.4246101379395,-99.1195907592773,95
7,1,2016,Miguel Hidalgo,MIGUEL HIDALGO,19.4040508270264,-99.2026596069336,59
7,1,2016,Pedregal,ALVARO OBREGON,19.3251457214355,-99.2041397094727,25
7,1,2016,Tlahuac,TLAHUAC,19.2464580535889,-99.0105667114258,53
7,1,2016,UAM Iztapalapa,IZTAPALAPA,19.3607940673828,-99.0738830566406,79
7,1,2016,UAM Xochimilco,COYOACAN,19.3044414520264,-99.103630065918,19
8,1,2016,Ajusco,TLALPAN,19.1542854309082,-99.1626129150391,23
8,1,2016,Ajusco Medio,TLALPAN,19.2721614837646,-99.2077407836914,63
8,1,2016,Benito Juarez,BENITO JUAREZ,19.3704643249512,-99.1595993041992,89
8,1,2016,Camarones,AZCAPOTZALCO,19.4684047698975,-99.169792175293,16
8,1,2016,Centro de Ciencias de la Atmosfera,COYOACAN,19.3261108398438,-99.1761093139648,16
8,1,2016,Coyoacan,COYOACAN,19.3502578735352,-99.1571044921875,18
8,1,2016,Cuajimalpa,CUAJIMALPA DE MORELOS,19.3653125762939,-99.2917022705078,64
8,1,2016,Gustavo A. Madero,GUSTAVO A MADERO,19.4827003479004,-99.0945205688477,16
8,1,2016,Hospital General de Mexico,CUAUHTEMOC,19.4116172790527,-99.1522064208984,72
8,1,2016,Iztacalco,IZTACALCO,19.3844127655029,-99.1176376342773,71
8,1,2016,Merced,VENUSTIANO CARRANZA,19.4246101379395,-99.1195907592773,101
8,1,2016,Miguel Hidalgo,MIGUEL HIDALGO,19.4040508270264,-99.2026596069336,66
8,1,2016,Pedregal,ALVARO OBREGON,19.3251457214355,-99.2041397094727,23
8,1,2016,Tlahuac,TLAHUAC,19.2464580535889,-99.0105667114258,70
8,1,2016,UAM Iztapalapa,IZTAPALAPA,19.3607940673828,-99.0738830566406,99
8,1,2016,UAM Xochimilco,COYOACAN,19.3044414520264,-99.103630065918,18
9,1,2016,Ajusco,TLALPAN,19.1542854309082,-99.1626129150391,28
9,1,2016,Ajusco Medio,TLALPAN,19.2721614837646,-99.2077407836914,53
9,1,2016,Benito Juarez,BENITO JUAREZ,19.3704643249512,-99.1595993041992,91
9,1,2016,Camarones,AZCAPOTZALCO,19.4684047698975,-99.169792175293,20
9,1,2016,Centro de Ciencias de la Atmosfera,COYOACAN,19.3261108398438,-99.1761093139648,23
9,1,2016,Coyoacan,COYOACAN,19.3502578735352,-99.1571044921875,24
9,1,2016,Cuajimalpa,CUAJIMALPA DE MORELOS,19.3653125762939,-99.2917022705078,62
9,1,2016,Gustavo A. Madero,GUSTAVO A MADERO,19.4827003479004,-99.0945205688477,33
9,1,2016,Hospital General de Mexico,CUAUHTEMOC,19.4116172790527,-99.1522064208984,83
9,1,2016,Iztacalco,IZTACALCO,19.3844127655029,-99.1176376342773,81
9,1,2016,Merced,VENUSTIANO CARRANZA,19.4246101379395,-99.1195907592773,113
9,1,2016,Miguel Hidalgo,MIGUEL HIDALGO,19.4040508270264,-99.2026596069336,78
