,ID,Dia,Mes,Anio,Latitud,Longitud,Alcaldia,Alcaldia_num,AQI,Crimenes,r,p value,% / 10 AQI
44,5_1_2016_VENUS,5,1,2016,19.4246101379395,-99.1195907592773,VENUSTIANO CARRANZA,2,130,6,0.09313,0.09526,0.50963
45,6_1_2016_AZCAP,6,1,2016,19.4684047698975,-99.169792175293,AZCAPOTZALCO,7,105,14,0.01273,0.82162,0.07958
46,6_1_2016_BENIT,6,1,2016,19.3704643249512,-99.1595993041992,BENITO JUAREZ,1,70,4,0.04583,0.38995,0.31513
47,6_1_2016_CUAJI,6,1,2016,19.3653125762939,-99.2917022705078,CUAJIMALPA DE MORELOS,5,58,4,0.05489,0.40533,0.27603
48,6_1_2016_CUAUH,6,1,2016,19.4116172790527,-99.1522064208984,CUAUHTEMOC,8,64,22,0.09876,0.06456,0.54579
49,6_1_2016_IZTAC,6,1,2016,19.3844127655029,-99.1176376342773,IZTACALCO,3,59,10,0.13991,0.01036,0.74039
50,6_1_2016_IZTAP,6,1,2016,19.3607940673828,-99.0738830566406,IZTAPALAPA,10,86,32,0.25845,0.00015,1.20472
51,6_1_2016_TLAHU,6,1,2016,19.2464580535889,-99.0105667114258,TLAHUAC,6,56,6,0.07758,0.16359,0.47823
52,6_1_2016_TLALP,6,1,2016,19.2721614837646,-99.2077407836914,TLALPAN,4,48,8,-0.03953,0.46228,-0.23408
53,6_1_2016_VENUS,6,1,2016,19.4246101379395,-99.1195907592773,VENUSTIANO CARRANZA,2,98,4,0.09313,0.09526,0.50963
54,7_1_2016_BENIT,7,1,2016,19.3704643249512,-99.1595993041992,BENITO JUAREZ,1,77,6,0.04583,0.38995,0.31513
55,7_1_2016_CUAJI,7,1,2016,19.3653125762939,-99.2917022705078,CUAJIMALPA DE MORELOS,5,57,2,0.05489,0.40533,0.27603
56,7_1_2016_CUAUH,7,1,2016,19.4116172790527,-99.1522064208984,CUAUHTEMOC,8,71,16,0.09876,0.06456,0.54579
57,7_1_2016_IZTAC,7,1,2016,19.3844127655029,-99.1176376342773,IZTACALCO,3,65,12,0.13991,0.01036,0.74039
58,7_1_2016_IZTAP,7,1,2016,19.3607940673828,-99.0738830566406,IZTAPALAPA,10,79,34,0.25845,0.00015,1.20472
59,7_1_2016_MIGUE,7,1,2016,19.4040508270264,-99.2026596069336,MIGUEL HIDALGO,9,59,11,0.0727,0.17233,0.40209
