,ID,Dia,Mes,Anio,Latitud,Longitud,Alcaldia,Alcaldia_num,AQI,Crimenes,r,p value,% / 10 AQI
44,4_1_2016_CUAUH,4,1,2016,19.4116172790527,-99.1522064208984,CUAUHTEMOC,8,130,10,0.11413,0.02903,0.55094
45,4_1_2016_GUSTA,4,1,2016,19.4827003479004,-99.0945205688477,GUSTAVO A MADERO,12,8,17,0.1401,0.00803,1.3659
46,4_1_2016_IZTAC,4,1,2016,19.3844127655029,-99.1176376342773,IZTACALCO,3,128,6,0.11471,0.03191,0.53143
47,4_1_2016_IZTAP,4,1,2016,19.3607940673828,-99.0738830566406,IZTAPALAPA,10,11,19,0.0709,0.1795,0.1876
48,4_1_2016_MIGUE,4,1,2016,19.4040508270264,-99.2026596069336,MIGUEL HIDALGO,9,122,7,0.05957,0.26429,0.31492
49,4_1_2016_TLAHU,4,1,2016,19.2464580535889,-99.0105667114258,TLAHUAC,6,102,5,0.06017,0.27215,0.34631
50,4_1_2016_TLALP,4,1,2016,19.1542854309082,-99.1626129150391,TLALPAN,4,18,6,0.07686,0.14441,0.5717
51,4_1_2016_VENUS,4,1,2016,19.4246101379395,-99.1195907592773,VENUSTIANO CARRANZA,2,5,6,0.03224,0.54488,0.13043
52,5_1_2016_ALVAR,5,1,2016,19.3251457214355,-99.2041397094727,ALVARO OBREGON,11,16,4,-0.00885,0.87071,-0.07645
53,5_1_2016_AZCAP,5,1,2016,19.4684047698975,-99.169792175293,AZCAPOTZALCO,7,120,6,-0.02489,0.64123,-0.10199
54,5_1_2016_BENIT,5,1,2016,19.3704643249512,-99.1595993041992,BENITO JUAREZ,1,109,1,0.04593,0.38688,0.298
55,5_1_2016_COYOA,5,1,2016,19.3044414520264,-99.103630065918,COYOACAN,14,17,7,0.21894,3e-05,2.00756
56,5_1_2016_CUAJI,5,1,2016,19.3653125762939,-99.2917022705078,CUAJIMALPA DE MORELOS,5,61,1,0.07397,0.26074,0.28515
57,5_1_2016_CUAUH,5,1,2016,19.4116172790527,-99.1522064208984,CUAUHTEMOC,8,105,12,0.11413,0.02903,0.55094
58,5_1_2016_GUSTA,5,1,2016,19.4827003479004,-99.0945205688477,GUSTAVO A MADERO,12,11,13,0.1401,0.00803,1.3659
59,5_1_2016_IZTAC,5,1,2016,19.3844127655029,-99.1176376342773,IZTACALCO,3,97,9,0.11471,0.03191,0.53143
60,5_1_2016_IZTAP,5,1,2016,19.3607940673828,-99.0738830566406,IZTAPALAPA,10,111,15,0.0709,0.1795,0.1876
61,5_1_2016_MIGUE,5,1,2016,19.4040508270264,-99.2026596069336,MIGUEL HIDALGO,9,101,7,0.05957,0.26429,0.31492
62,5_1_2016_TLAHU,5,1,2016,19.2464580535889,-99.0105667114258,TLAHUAC,6,66,1,0.06017,0.27215,0.34631
63,5_1_2016_TLALP,5,1,2016,19.1542854309082,-99.1626129150391,TLALPAN,4,19,4,0.07686,0.14441,0.5717
64,5_1_2016_VENUS,5,1,2016,19.4246101379395,-99.1195907592773,VENUSTIANO CARRANZA,2,130,3,0.03224,0.54488,0.13043
65,6_1_2016_ALVAR,6,1,2016,19.3251457214355,-99.2041397094727,ALVARO OBREGON,11,19,2,-0.00885,0.87071,-0.07645
66,6_1_2016_AZCAP,6,1,2016,19.4684047698975,-99.169792175293,AZCAPOTZALCO,7,105,7,-0.02489,0.64123,-0.10199
67,6_1_2016_BENIT,6,1,2016,19.3704643249512,-99.1595993041992,BENITO JUAREZ,1,70,2,0.04593,0.38688,0.298
68,6_1_2016_COYOA,6,1,2016,19.3044414520264,-99.103630065918,COYOACAN,14,15,2,0.21894,3e-05,2.00756
69,6_1_2016_CUAJI,6,1,2016,19.3653125762939,-99.2917022705078,CUAJIMALPA DE MORELOS,5,56,2,0.07397,0.26074,0.28515
70,6_1_2016_CUAUH,6,1,2016,19.4116172790527,-99.1522064208984,CUAUHTEMOC,8,64,11,0.11413,0.02903,0.55094
71,6_1_2016_GUSTA,6,1,2016,19.4827003479004,-99.0945205688477,GUSTAVO A MADERO,12,13,10,0.1401,0.00803,1.3659
72,6_1_2016_IZTAC,6,1,2016,19.3844127655029,-99.1176376342773,IZTACALCO,3,61,5,0.11471,0.03191,0.53143
73,6_1_2016_IZTAP,6,1,2016,19.3607940673828,-99.0738830566406,IZTAPALAPA,10,86,16,0.0709,0.1795,0.1876
74,6_1_2016_TLAHU,6,1,2016,19.2464580535889,-99.0105667114258,TLAHUAC,6,56,3,0.06017,0.27215,0.34631
75,6_1_2016_TLALP,6,1,2016,19.1542854309082,-99.1626129150391,TLALPAN,4,19,4,0.07686,0.14441,0.5717
76,6_1_2016_VENUS,6,1,2016,19.4246101379395,-99.1195907592773,VENUSTIANO CARRANZA,2,98,2,0.03224,0.54488,0.13043
77,7_1_2016_ALVAR,7,1,2016,19.3251457214355,-99.2041397094727,ALVARO OBREGON,11,25,11,-0.00885,0.87071,-0.07645
78,7_1_2016_AZCAP,7,1,2016,19.4684047698975,-99.169792175293,AZCAPOTZALCO,7,14,4,-0.02489,0.64123,-0.10199
79,7_1_2016_BENIT,7,1,2016,19.3704643249512,-99.1595993041992,BENITO JUAREZ,1,77,3,0.04593,0.38688,0.298
80,7_1_2016_COYOA,7,1,2016,19.3044414520264,-99.103630065918,COYOACAN,14,19,3,0.21894,3e-05,2.00756
81,7_1_2016_CUAJI,7,1,2016,19.3653125762939,-99.2917022705078,CUAJIMALPA DE MORELOS,5,58,1,0.07397,0.26074,0.28515
82,7_1_2016_CUAUH,7,1,2016,19.4116172790527,-99.1522064208984,CUAUHTEMOC,8,71,8,0.11413,0.02903,0.55094
83,7_1_2016_GUSTA,7,1,2016,19.4827003479004,-99.0945205688477,GUSTAVO A MADERO,12,15,16,0.1401,0.00803,1.3659
84,7_1_2016_IZTAC,7,1,2016,19.3844127655029,-99.1176376342773,IZTACALCO,3,65,6,0.11471,0.03191,0.53143
85,7_1_2016_IZTAP,7,1,2016,19.3607940673828,-99.0738830566406,IZTAPALAPA,10,79,17,0.0709,0.1795,0.1876
86,7_1_2016_MIGUE,7,1,2016,19.4040508270264,-99.2026596069336,MIGUEL HIDALGO,9,59,6,0.05957,0.26429,0.31492
87,7_1_2016_TLAHU,7,1,2016,19.2464580535889,-99.0105667114258,TLAHUAC,6,53,1,0.06017,0.27215,0.34631
88,7_1_2016_TLALP,7,1,2016,19.1542854309082,-99.1626129150391,TLALPAN,4,20,2,0.07686,0.14441,0.5717
89,7_1_2016_VENUS,7,1,2016,19.4246101379395,-99.1195907592773,VENUSTIANO CARRANZA,2,95,12,0.03224,0.54488,0.13043
90,8_1_2016_ALVAR,8,1,2016,19.3251457214355,-99.2041397094727,ALVARO OBREGON,11,23,10,-0.00885,0.87071,-0.07645
91,8_1_2016_AZCAP,8,1,2016,19.4684047698975,-99.169792175293,AZCAPOTZALCO,7,16,4,-0.02489,0.64123,-0.10199
92,8_1_2016_BENIT,8,1,2016,19.3704643249512,-99.1595993041992,BENITO JUAREZ,1,89,5,0.04593,0.38688,0.298
93,8_1_2016_COYOA,8,1,2016,19.3044414520264,-99.103630065918,COYOACAN,14,18,2,0.21894,3e-05,2.00756
94,8_1_2016_CUAUH,8,1,2016,19.4116172790527,-99.1522064208984,CUAUHTEMOC,8,72,16,0.11413,0.02903,0.55094
95,8_1_2016_GUSTA,8,1,2016,19.4827003479004,-99.0945205688477,GUSTAVO A MADERO,12,16,9,0.1401,0.00803,1.3659
96,8_1_2016_IZTAC,8,1,2016,19.3844127655029,-99.1176376342773,IZTACALCO,3,71,4,0.11471,0.03191,0.53143
97,8_1_2016_IZTAP,8,1,2016,19.3607940673828,-99.0738830566406,IZTAPALAPA,10,99,16,0.0709,0.1795,0.1876
98,8_1_2016_MIGUE,8,1,2016,19.4040508270264,-99.2026596069336,MIGUEL HIDALGO,9,66,5,0.05957,0.26429,0.31492
